編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
RPPNMLRLJIKGFCB77DA,坡道機械,0,,地下一樓
RPROMLQLJIKGFIB58DA,坡道平面,0,,地下三樓
RPUOMLPLJIKGFCB18DA,坡道平面,0,23.86,地下二樓
RPPNMLSLJIKGFCB97EA,坡道平面,0,,地下一樓
RPSNMLPLJIKGFIB48DA,坡道平面,0,35.85,地下二樓
RPWPMLSKJIKGFCB68DA,坡道平面,1600000,73.32,地下一樓
RPQNMLMJKIKGFDB37DA,塔式車位,500000,13.33,
RPPNMLQKJIKGFAB37DA,坡道機械,1000000,14.05,地下三樓
RPPNMLLJJIKGFAB76DA,坡道平面,1800000,12.92,地下一樓
RPUNMLLJKIKGFAB37DA,坡道平面,0,13.98,地下二樓
RPVOMLLLJIKGFBB77DA,坡道平面,0,24.47,地下三樓
RPWPMLQLJIKGFBB48DA,坡道機械,0,,地下一樓
RPQOMLSLJIKGFFB38DA,坡道平面,0,24.73,二樓含以上
RPQNMLRLJIKGFCB87DA,坡道機械,0,,地下一樓
RPWNMLLJKIKGFBB67DA,坡道平面,0,,地下一樓
RPUQMLMJKIKGFCB97DA,坡道機械,0,11.57,地下三樓
RPUNMLNJKIKGFCB77DA,坡道平面,0,13.89,地下四樓
RPPNMLNJKIKGFCB27DA,坡道平面,0,,地下四樓
RPPNMLNJKIKGFCB27DA,坡道平面,0,,地下四樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPPNMLNJKIKGFDB37DA,一樓平面,0,,一樓
RPQNMLRJJIKGFJB38DA,坡道平面,0,,地下一樓
RPUNMLMJKIKGFJB38DA,坡道平面,1580000,28.71,地下三樓
RPPNMLNJKIKGFJB08EA,一樓平面,0,,一樓
RPVNMLLLJIKGFFB08DA,坡道平面,0,26.13,地下一樓
RPRNMLKLJIKGFKB08DA,坡道平面,1400000,30.06,地下一樓
RPTOMLPLJIKGFAB87DA,坡道機械,0,24.74,地下二樓
RPTNMLLJKIKGFBB37DA,坡道平面,0,,地下一樓
RPWPMLMJKIKGFCB08DA,坡道平面,0,,地下一樓
RPRNMLNJKIKGFCB47DA,坡道平面,0,40.37,地下三樓
RPRNMLNJKIKGFCB47DA,坡道平面,0,40.37,地下三樓
RPUNMLTKJIKGFCB38DA,坡道機械,0,,地下一樓
RPTNMLOJKIKGFHB28DA,坡道機械,0,,地下一樓
RPSNMLTKJIKGFIB78DA,坡道平面,0,,地下二樓
RPWNMLOJKIKGFAB87DA,坡道平面,1060000,21.40,地下三樓
RPQNMLSLJIKGFBB87DA,坡道平面,0,22.49,地下一樓
RPTRMLPLJIKGFBB28DA,坡道平面,0,34.64,地下一樓
RPROMLPLJIKGFCB87DA,坡道平面,0,15.11,地下四樓
RPROMLPLJIKGFCB87DA,坡道機械,0,6.94,地下五樓含以下
RPROMLPLJIKGFCB87DA,坡道機械,0,6.94,地下五樓含以下
RPXOMLLJKIKGFFB28DA,坡道平面,0,22.50,地下二樓
RPVOMLMLJIKGFCB97DA,坡道平面,2000000,25.21,地下四樓
RPVOMLMLJIKGFCB97DA,坡道平面,2000000,25.21,地下四樓
RPXNMLNJKIKGFJB78DA,坡道平面,1200000,34.86,地下二樓
RPRNMLPJKIKGFIB28DA,坡道機械,0,,地下一樓
RPTNMLSLJIKGFHB78DA,坡道平面,0,36.23,地下一樓
RPXNMLNJKIKGFIB68DA,坡道平面,1200000,29.72,地下一樓
RPUOMLRJIIKGFBB97DA,坡道平面,0,25.30,地下一樓
RPUOMLRJIIKGFBB97DA,坡道平面,0,25.30,地下一樓
RPOPMLOJKIKGFFB77DA,坡道平面,0,33.76,地下二樓
RPWOMLSJIIKGFBB28DA,坡道平面,0,,地下一樓
RPTOMLLJIIKGFIB97DA,坡道平面,0,24.76,地下三樓
RPSNMLPKIIKGFIB28DA,坡道平面,1800000,25.53,地下一樓
RPRNMLNKIIKGFIB97DA,坡道平面,0,37.97,地下一樓
RPPOMLPKIIKGFCB47DA,坡道平面,0,15.11,地下三樓
RPPOMLPKIIKGFCB47DA,坡道機械,0,6.19,地下五樓含以下
RPPOMLPKIIKGFCB47DA,坡道機械,0,6.19,地下五樓含以下
RPXQMLOKIIKGFCB38DA,坡道平面,2280000,29.45,地下二樓
RPPNMLOKIIKGFCB27DA,坡道平面,0,21.40,地下一樓
RPTPMLRJIIKGFBB97DA,坡道機械,400000,,地下三樓
RPRNMLOKIIKGFCB47DA,坡道平面,1900000,20.17,地下二樓
RPRNMLOKIIKGFCB47DA,坡道平面,1700000,17.43,地下二樓
RPPOMLRKIIKGFIB28DA,坡道平面,1880000,,地下二樓
RPPNMLLLIIKGFAB96EA,升降機械,0,,地下一樓
RPTOMLRKIIKGFCB08DA,坡道平面,1650000,,地下二樓
RPRPMLLJIIKGFBB17DA,坡道平面,1100000,23.32,地下三樓
RPPOMLLLIIKGFBB07DA,坡道平面,0,29.51,地下一樓
RPPOMLLLIIKGFBB07DA,坡道平面,0,29.51,地下一樓
RPPNMLNKIIKGFCB17DA,坡道平面,1500000,29.11,地下五樓含以下
RPVNMLMLIIKGFJB48DA,坡道平面,0,27.36,地下三樓
RPPQMLMLIIKGFCB47DA,坡道機械,0,,地下一樓
RPRNMLMLIIKGFCB37DA,坡道平面,2300000,29.45,地下一樓
RPTNMLPKIIKGFAB57DA,坡道平面,1900000,21.40,地下二樓
RPUOMLQKIIKGFBB97DA,坡道平面,0,30.97,地下三樓
RPSNMLLLIIKGFHB87DA,坡道平面,0,,地下一樓
RPQNMLKMIIKGFGB57DA,坡道平面,1250000,32.23,地下一樓
RPPNMLKMIIKGFGB47DA,坡道平面,1200000,32.23,地下二樓
RPVOMLSLIIKGFBB38DA,坡道機械,0,,地下一樓
RPTQMLRLIIKGFBB28DA,坡道機械,0,,地下二樓
RPTQMLRLIIKGFBB28DA,坡道機械,0,,地下二樓
RPQWNLRLIIKGFCB78DA,坡道平面,0,,地下三樓
RPXNMLTLIIKGFBB58DA,坡道平面,1800000,26.75,地下二樓
RPTNMLKMIIKGFHB97DA,坡道機械,550000,,地下三樓
RPOPMLSLIIKGFBB77DA,坡道平面,0,31.79,地下一樓
RPUOMLPKIIKGFKB78DA,坡道平面,0,23.65,地下一樓
RPQQMLRKIIKGFAB77DA,坡道平面,0,,地下三樓
RPQQMLRKIIKGFAB77DA,坡道平面,0,,地下三樓
RPQOMLLMIIKGFBB27DA,坡道機械,0,,地下一樓
RPSPMLQKIIKGFAB77DA,升降機械,0,,地下一樓
RPVOMLLMIIKGFCB87DA,坡道平面,0,24.84,地下一樓
RPTNMLNJJIKGFBB47DA,坡道機械,0,13.61,地下四樓
RPRWNLRLIIKGFCB88DA,坡道平面,0,31.62,地下二樓
RPUNMLLLIIKGFHB08DA,坡道平面,1500000,33.99,地下三樓
RPQPMLRJIIKGFBB67DA,坡道平面,0,25.81,地下二樓
RPOOMLLLIIKGFBB96DA,坡道平面,0,26.50,地下三樓
RPUOMLOJJIKGFAB67DA,坡道機械,0,,地下二樓
RPROMLOKIIKGFCB57DA,坡道平面,0,23.21,地下二樓
RPSNMLKLIIKGFCB27DA,坡道機械,0,,地下一樓
RPQQMLTLIIKGFCB28DA,坡道平面,0,33.64,地下二樓
RPXOMLPJJIKGFCB28DA,升降平面,0,,地下一樓
RPWWNLPJJIKGFBB98DA,升降機械,0,,地下二樓
RPPNMLPJJIKGFBB37EA,升降機械,0,,地下一樓
RPPNMLPJJIKGFAB27EA,升降平面,800000,,地下二樓
RPQNMLQJJIKGFEB77DA,坡道平面,0,,地下一樓
RPWOMLKMIIKGFAB67DA,坡道平面,0,,地下二樓
RPTPMLOJJIKGFFB18DA,坡道平面,0,26.13,地下三樓
RPWNMLLLIIKGFCB77DA,坡道平面,0,38.54,地下三樓
RPSUMLKMIIKGFFB38DA,坡道平面,0,28.76,地下三樓
RPQNMLLLIIKGFJB87DA,坡道平面,0,28.72,地下三樓
RPPNMLPJJIKGFCB47EA,坡道平面,0,26.57,地下二樓
RPUQMLQKIIKGFBB18DA,坡道機械,0,17.26,地下三樓
RPWOMLMKIIKGFCB87DA,坡道平面,2100000,33.64,地下三樓
RPRQMLQJJIKGFBB87DA,坡道機械,0,,地下一樓
RPPNMLLMIIKGFCB17DA,坡道平面,1850000,20.98,地下一樓
RPQOMLPJJIKGFAB37DA,升降機械,0,,地下一樓
RPTNMLRJJIKGFCB97DA,坡道平面,0,29.11,地下二樓
RPTNMLNLIIKGFCB67DA,坡道平面,0,33.33,地下二樓
RPTNMLNLIIKGFCB67DA,坡道平面,0,33.33,地下二樓
RPTNMLNLIIKGFCB67DA,坡道平面,0,33.33,地下五樓含以下
RPPNMLQJJIKGFHB97DA,升降機械,0,,地下一樓
RPWNMLPKIIKGFIB68DA,坡道平面,0,24.76,地下三樓
RPPRMLQKIIKGFBB77DA,一樓平面,0,,一樓
RPPRMLQKIIKGFBB77DA,一樓平面,0,,一樓
RPSOMLNLIIKGFBB57DA,坡道平面,0,24.80,地下三樓
RPSOMLTLIIKGFAB08DA,坡道平面,0,28.43,地下三樓
RPTQMLNJJIKGFBB77DA,坡道機械,500000,,地下二樓
RPRNMLRJJIKGFAB57DA,一樓平面,2600000,38.31,一樓
RPORMLOKIIKGFCB57DA,坡道平面,0,14.99,地下一樓
RPPOMLLKJIKGFAB96DA,坡道平面,1200000,27.17,地下一樓
RPWNMLOJJIKGFCB97DA,一樓平面,0,,一樓
RPSNMLRJJIKGFFB18DA,升降機械,0,,一樓
RPOOMLLKJIKGFAB86DA,坡道平面,0,,地下一樓
RPRNMLPJJIKGFAB37DA,坡道平面,0,36.38,地下四樓
RPWNMLLKJIKGFAB57DA,坡道平面,2600000,48.40,地下一樓
RPTOMLTLIIKGFBB28DA,坡道平面,0,25.47,地下三樓
RPVOMLNKJIKGFBB87DA,坡道平面,0,,地下二樓
RPXOMLKMIIKGFBB87DA,坡道機械,0,13.61,地下四樓
RPVNMLNKJIKGFIB48DA,坡道平面,500000,,地下一樓
RPQNMLNJJIKGFJB97DA,一樓平面,0,,一樓
RPQNMLNJJIKGFJB97DA,一樓平面,0,,一樓
RPSNMLNKJIKGFJB28DA,坡道平面,0,25.09,地下一樓
RPXNMLKKJIKGFIB38DA,坡道平面,0,34.76,地下二樓
RPPNMLNKJIKGFBB27EA,升降機械,500000,,地下三樓
RPVNMLNLIIKGFIB48DA,坡道平面,0,22.54,地下二樓
RPRPMLKKJIKGFBB27DA,坡道平面,0,,地下三樓
RPXNMLKMIIKGFAB67DA,坡道平面,0,33.68,地下四樓
RPWNMLRJJIKGFAB08DA,坡道機械,0,,地下三樓
RPPNMLQKIIKGFBB37DA,升降機械,0,,地下一樓
RPSQMLRLIIKGFBB18DA,坡道平面,0,31.30,地下二樓
RPQNMLQJJIKGFIB18DA,坡道平面,0,24.76,地下二樓
RPRNMLRJJIKGFDB87DA,坡道平面,0,23.32,地下二樓
RPRNMLRJJIKGFDB87DA,坡道平面,0,23.32,地下二樓
RPVNMLOKJIKGFAB77DA,坡道平面,0,48.40,地下一樓
RPUOMLLKJIKGFFB97DA,坡道平面,0,26.13,地下二樓
RPUNMLOKJIKGFCB87DA,坡道機械,0,17.68,地下二樓
RPPNMLOKJIKGFIB97DA,坡道平面,0,33.43,地下二樓
RPPNMLOKJIKGFIB97DA,坡道平面,0,33.43,地下二樓
RPPNMLNJJIKGFJB87DA,坡道平面,0,34.65,地下三樓
RPPOMLMLIIKGFAB07DA,坡道平面,2350000,24.96,地下二樓
RPQNMLMLIIKGFIB87DA,坡道平面,0,32.01,地下一樓
RPPOMLOKJIKGFBB37DA,坡道機械,0,,地下一樓
RPSNMLLLIIKGFBB27DA,坡道平面,0,42.25,地下二樓
RPWOMLKMIIKGFBB77DA,坡道平面,0,23.42,地下二樓
RPQNMLOKJIKGFKB28DA,坡道平面,1850000,23.22,地下二樓
RPQNMLRKJIKGFIB38DA,坡道平面,2250000,32.54,地下四樓
RPQNMLRKJIKGFIB38DA,坡道平面,2200000,32.54,地下四樓
RPPNMLRKJIKGFBB57DA,坡道平面,1900000,25.87,地下三樓
RPPOMLNKJIKGFKB18DA,坡道機械,0,14.30,地下一樓
RPPNMLNJJIKGFCB17DA,坡道機械,0,6.04,地下一樓
RPPNMLOLIIKGFAB17DA,坡道平面,1200000,,地下二樓
RPQPMLKLIIKGFCB27DA,坡道機械,800000,6.31,地下二樓
RPVNMLNJJIKGFHB28DA,坡道機械,0,,地下一樓
RPTNMLOKJIKGFFB08DA,坡道平面,0,26.13,地下一樓
RPROMLNKJIKGFIB18DA,坡道平面,0,36.47,地下三樓
RPQOMLSLIIKGFJB68DA,坡道平面,0,26.01,地下二樓
RPQOMLSLIIKGFJB68DA,坡道平面,0,26.01,地下二樓
RPUNMLOKJIKGFIB48DA,坡道平面,0,,地下一樓
RPUNMLOKJIKGFIB48DA,坡道平面,0,,地下一樓
RPQNMLTLIIKGFAB77DA,坡道平面,0,,地下三樓
RPSNMLRKJIKGFFB28DA,坡道平面,1400000,26.45,地下一樓
RPVNMLQJJIKGFDB18DA,一樓平面,0,,一樓
RPVRMLLMIIKGFAB97DA,坡道平面,1500000,,地下三樓
RPPNMLKMIIKGFJB77DA,坡道平面,700000,,地下四樓
RPPNMLPJJIKGFJB08DA,一樓平面,0,,一樓
RPSNMLSKJIKGFCB08DA,坡道平面,0,27.51,地下三樓
RPUVNLRKJIKGFCB09DA,升降機械,0,,地下一樓
RPSNMLOKJIKGFJB38DA,坡道平面,0,29.53,地下一樓
RPSNMLOKJIKGFJB38DA,坡道平面,0,29.53,地下一樓
RPRNMLKLIIKGFDB27DA,坡道平面,0,,地下三樓
RPQNMLKKJIKGFBB07EA,升降機械,800000,21.34,地下三樓
RPSNMLRLIIKGFJB68DA,坡道平面,800000,,地下四樓
RPPNMLSKJIKGFCB87EA,坡道平面,2000000,20.10,地下四樓
RPPNMLSKJIKGFCB87EA,坡道平面,2000000,20.10,地下四樓
RPVOMLRLIIKGFAB18DA,坡道平面,0,33.98,地下一樓
RPRNMLRKJIKGFAB67DA,坡道機械,0,15.84,地下三樓
RPTWNLPJJIKGFBB68DA,坡道機械,0,,地下二樓
RPSNMLTKJIKGFBB08DA,一樓平面,1700000,36.38,一樓
RPRPMLOKJIKGFBB67DA,坡道平面,0,44.20,地下一樓
RPRPMLOKJIKGFBB67DA,坡道平面,0,44.20,地下一樓
RPOQMLRKJIKGFBB77DA,坡道平面,0,36.94,地下二樓
RPPOMLOJJIKGFCB37DA,坡道平面,0,30.76,地下三樓
RPUNMLPJJIKGFCB87DA,坡道平面,0,,地下一樓
RPQNMLOJJIKGFDB47DA,坡道機械,0,16.14,地下一樓
RPWOMLRJJIKGFCB38DA,坡道機械,0,,地下二樓
RPVSMLQJJIKGFFB88DA,坡道平面,0,26.13,地下三樓
RPPNMLKKJIKGFGB37DA,坡道平面,0,13.48,地下一樓
RPXNMLRLIIKGFIB09DA,坡道機械,0,,地下一樓
RPPNMLTKJIKGFBB87EA,一樓平面,1850000,39.67,一樓
RPSNMLRKJIKGFFB38EA,一樓平面,0,,一樓
RPXOMLNJJIKGFBB97DA,升降機械,0,,地下一樓
RPROMLOKJIKGFBB57DA,坡道機械,0,15.94,地下三樓
RPXNMLMJIIKGFAB57DA,坡道平面,0,33.04,地下一樓
RPPNMLQJJIKGFDB57DA,坡道平面,0,26.68,地下三樓
RPVOMLKLJIKGFBB67DA,升降平面,0,,地下一樓
RPPNMLRKIIKGFIB18DA,坡道平面,0,26.20,地下二樓
RPPNMLKKJIKGFIB57DA,坡道平面,0,31.39,地下二樓
RPWNMLKLIIKGFIB28DA,坡道機械,0,,地下一樓
RPXNMLNKJIKGFIB68DA,坡道平面,0,26.09,地下二樓
RPRNMLSKJIKGFAB77DA,坡道平面,0,30.29,地下二樓
RPOOMLSKJIKGFIB38DA,坡道機械,0,9.03,地下二樓
RPPOMLTKJIKGFCB97DA,坡道平面,0,10.17,地下三樓
RPWNMLTKJIKGFCB58DA,坡道平面,0,9.91,地下三樓
RPPPMLQKIIKGFBB57DA,坡道平面,0,25.10,地下一樓
RPPPMLQKIIKGFBB57DA,坡道平面,0,25.10,地下二樓
RPTNMLPJJIKGFCB77DA,坡道機械,0,,地下二樓
RPTPMLQJJIKGFCB08DA,坡道機械,0,9.67,地下三樓
RPPNMLKLJIKGFCB17EA,坡道平面,0,,地下一樓
RPPOMLSLIIKGFCB87DA,坡道機械,0,30.54,地下三樓
RPPNMLKMIIKGFIB67DA,坡道平面,0,29.95,地下二樓
RPTNMLKKJIKGFJB08DA,坡道平面,0,42.98,地下二樓
RPQNMLSLIIKGFJB58DA,坡道平面,0,,地下一樓
RPQNMLRLIIKGFHB28DA,坡道平面,0,,地下二樓
RPRNMLRKIIKGFJB48DA,坡道平面,0,29.53,地下三樓
RPXNMLKLJIKGFIB48DA,坡道平面,0,24.76,地下三樓
RPWNMLQKIIKGFCB18DA,坡道機械,0,,地下二樓
RPPTMLKLJIKGFBB57DA,坡道平面,2400000,30.42,地下一樓
RPPTMLKLJIKGFBB57DA,坡道平面,2400000,30.42,地下一樓
RPTOMLKLJIKGFCB57DA,坡道平面,0,,地下二樓
RPVNMLKKJIKGFDB67DA,坡道平面,0,31.63,地下一樓
RPSOMLKMIIKGFCB47DA,坡道平面,0,29.50,地下二樓
RPRPMLOJJIKGFCB67DA,坡道機械,0,,地下三樓
RPPNMLNKJIKGFDB37DA,其他,0,11.58,一樓
RPVPMLKKJIKGFBB67DA,坡道機械,0,21.56,地下四樓
RPPNMLKLJIKGFHB57DA,坡道機械,0,,地下一樓
RPQNMLMLIIKGFKB08DA,坡道平面,0,37.44,地下二樓
RPQQMLKKJIKGFBB27DA,坡道平面,0,25.30,地下二樓
RPQOMLRJJIKGFJB48DA,坡道平面,0,24.80,地下二樓
RPXNMLPJJIKGFAB97DA,坡道機械,0,,地下一樓
RPXUMLPJJIKGFBB78DA,坡道平面,0,24.81,地下二樓
RPWNMLTLIIKGFBB48DA,坡道平面,0,23.90,地下二樓
RPXPMLRJIIKGFBB38DA,升降平面,700000,,地下二樓
RPTPMLRKJIKGFBB18DA,坡道平面,0,34.65,地下三樓
RPQSMLPLJIKGFBB08DA,坡道平面,0,25.81,地下一樓
RPWNMLKMIIKGFKB58DA,坡道平面,1350000,39.48,地下二樓
RPXNMLQJJIKGFHB78DA,坡道平面,0,32.14,地下二樓
RPPNMLSKIIKGFJB38DA,坡道平面,1500000,34.66,地下二樓
RPUNMLPLJIKGFIB68DA,坡道平面,0,15.09,地下二樓
RPSNMLRKJIKGFAB77DA,坡道機械,0,,地下一樓
RPRNMLOJJIKGFBB37DA,坡道平面,1900000,36.38,地下二樓
RPTPMLRKIIKGFCB18DA,坡道平面,2000000,21.35,地下一樓
RPQOMLTKJIKGFBB97DA,坡道平面,0,31.89,地下三樓
RPVNMLOJJIKGFCB87DA,坡道平面,0,30.65,地下二樓
RPPNMLPLJIKGFAB37DA,坡道機械,0,,地下一樓
RPVNMLKKJIKGFCB57DA,坡道平面,0,21.94,地下二樓
RPSOMLRJJIKGFFB28DA,坡道平面,0,24.94,地下二樓
RPSNMLTLIIKGFDB28DA,坡道平面,0,30.04,地下一樓
RPUOMLLKJIKGFCB67DA,坡道機械,0,,地下五樓含以下
RPVNMLPLJIKGFFB48DA,坡道平面,0,32.71,地下二樓
RPRNMLKLJIKGFAB07DA,坡道平面,2100000,28.43,地下一樓
RPOSMLLKJIKGFBB37DA,坡道平面,0,,地下二樓
RPWNMLKLJIKGFIB38DA,坡道平面,0,33.13,地下一樓
RPWNMLKLJIKGFIB38DA,坡道平面,0,33.13,地下一樓
RPTNMLKMIIKGFAB27DA,升降機械,0,,地下一樓
RPOQMLKLIIKGFBB07DA,坡道平面,0,23.52,地下三樓
RPTQMLNJJIKGFAB67DA,坡道平面,0,,地下二樓
RPWPMLRKJIKGFBB48DA,坡道平面,0,42.86,地下二樓
RPSOMLPKIIKGFCB77DA,坡道平面,0,33.55,地下二樓
RPVNMLKLJIKGFCB67DA,坡道平面,0,,地下一樓
RPVNMLLLJIKGFCB77DA,坡道平面,0,,地下一樓
RPSSMLNKJIKGFFB38DA,坡道平面,0,25.22,地下一樓
RPRNMLLMIIKGFIB97DA,坡道平面,0,24.76,地下二樓
RPRNMLPLJIKGFJB48DA,坡道平面,0,28.25,地下三樓
RPUNMLPLJIKGFJB78DA,坡道機械,0,9.45,地下二樓
RPPNMLRLJIKGFBB77EA,升降平面,0,,地下一樓
RPUNMLQLJIKGFJB88DA,坡道平面,0,29.61,地下三樓
RPPNMLLLJIKGFCB27EA,坡道平面,0,27.55,地下一樓
RPPNMLRLJIKGFCB87EA,坡道機械,0,,地下一樓
RPPNMLTLIIKGFAB67DA,坡道機械,0,16.69,地下二樓
RPPNMLPLJIKGFKB38DA,坡道平面,0,,地下一樓
RPSNMLQKIIKGFBB67DA,坡道平面,0,30.08,地下三樓
RPOOMLPLJIKGFAB37DA,坡道機械,0,20.68,地下四樓
RPSOMLQLJIKGFAB87DA,坡道平面,1600000,33.41,地下一樓
RPWOMLRLJIKGFIB56DA,坡道機械,0,,地下一樓
RPVNMLQLJIKGFAB08DA,坡道平面,0,16.53,地下四樓
RPVNMLQLJIKGFAB08DA,坡道平面,0,16.53,地下四樓
RPOSMLKKJIKGFCB37DA,坡道平面,0,,地下三樓
RPOSMLKKJIKGFCB37DA,坡道平面,0,,地下三樓
RPQOMLOLJIKGFCB67DA,坡道機械,0,,地下二樓
RPSNMLRJJIKGFIB48DA,坡道平面,0,28.39,地下三樓
RPSRMLLKJIKGFBB67DA,坡道平面,0,33.75,地下二樓
RPRQMLOKJIKGFCB87DA,坡道平面,2000000,38.76,地下一樓
RPRQMLOKJIKGFCB87DA,坡道平面,1800000,38.76,地下二樓
RPRQMLRKJIKGFCB18DA,坡道平面,0,25.96,地下二樓
RPRQMLRKJIKGFCB18DA,坡道平面,0,28.01,地下二樓
RPVNMLRKIIKGFCB18DA,坡道機械,0,,地下一樓
RPPNMLQJIIKGFAB17DA,坡道平面,1200000,28.17,地下一樓
RPWOMLMJIIKGFAB57DA,升降平面,800000,17.07,地下一樓
RPPNMLQLIIKGFBB47DA,升降機械,600000,,地下一樓
RPVOMLPLJIKGFCB28DA,坡道平面,0,34.83,地下一樓
RPWOMLOLJIKGFCB28DA,坡道平面,0,17.52,地下一樓
RPWOMLOLJIKGFCB28DA,坡道平面,0,17.52,地下一樓
RPVRMLNKJIKGFCB28DA,坡道平面,0,24.82,地下二樓
RPUNMLSLJIKGFCB38DA,坡道平面,0,30.65,地下二樓
RPSNMLKKJIKGFAB07DA,坡道平面,0,29.95,地下三樓
RPTNMLLLIIKGFFB77DA,坡道平面,0,29.59,地下三樓
RPXNMLSLIIKGFJB66DA,坡道平面,0,28.45,地下二樓
RPQNMLLJKIKGFAB96DA,坡道平面,0,,地下三樓
RPOOMLOJJIKGFIB87DA,坡道平面,0,33.78,地下二樓
RPWNMLKKJIKGFJB38DA,坡道平面,1500000,24.55,地下二樓
RPSQMLNJJIKGFBB67DA,坡道平面,0,32.48,地下四樓
RPOPMLLLJIKGFBB17DA,坡道平面,2300000,24.79,地下二樓
RPVQMLMLIIKGFCB08DA,升降平面,700000,,地下一樓
RPWOMLLJKIKGFBB77DA,坡道平面,1050000,41.72,地下四樓
RPSNMLSLJIKGFHB68DA,坡道機械,0,,地下一樓
RPVOMLRLJIKGFIB09DA,坡道平面,0,32.01,地下一樓
RPRNMLSKJIKGFIB58DA,坡道平面,0,39.22,地下二樓
RPWNMLKLJIKGFJB48DA,坡道平面,0,29.96,地下一樓
RPQNMLRLIIKGFJB48DA,坡道機械,0,,地下一樓
RPPNMLKLJIKGFAB86DA,坡道平面,0,31.95,地下二樓
RPTNMLSLJIKGFAB08DA,坡道平面,0,32.75,地下二樓
RPXPMLPLJIKGFBB48DA,坡道平面,0,24.47,地下一樓
RPSPMLRKIIKGFBB97DA,坡道平面,0,,地下二樓
RPXNMLOKJIKGFBB08DA,坡道平面,0,26.36,地下三樓
RPTQMLQLJIKGFBB28DA,坡道平面,0,28.33,地下一樓
RPROMLMJKIKGFBB37DA,坡道平面,0,32.82,地下三樓
RPROMLMJKIKGFBB37DA,坡道平面,0,32.82,地下三樓
RPOOMLRJJIKGFBB47DA,坡道平面,0,,地下三樓
RPWNMLNJKIKGFAB77DA,坡道平面,0,30.29,地下三樓
RPXNMLTLIIKGFCB68DA,坡道機械,0,13.02,地下五樓含以下
